1, private, regions_unexplored:alpha_grove, MONSTER, minecraft:spider, 80, 4, 4
2, private, regions_unexplored:alpha_grove, MONSTER, minecraft:zombie, 80, 4, 4
3, private, regions_unexplored:alpha_grove, MONSTER, minecraft:zombie_villager, 5, 1, 1
4, private, regions_unexplored:alpha_grove, MONSTER, minecraft:skeleton, 80, 4, 4
5, private, regions_unexplored:alpha_grove, MONSTER, minecraft:creeper, 80, 4, 4
6, private, regions_unexplored:alpha_grove, MONSTER, minecraft:slime, 80, 4, 4
7, private, regions_unexplored:alpha_grove, MONSTER, minecraft:enderman, 10, 1, 4
8, private, regions_unexplored:alpha_grove, MONSTER, minecraft:witch, 5, 1, 1
9, private, regions_unexplored:alpha_grove, MONSTER, uselessreptile:moleclaw, 80, 1, 1
10, private, regions_unexplored:alpha_grove, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
11, private, regions_unexplored:alpha_grove, AMBIENT, minecraft:bat, 10, 8, 8
12, private, regions_unexplored:alpha_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
13, extreme_hills, tectonic:alpine_meadow, MONSTER, minecraft:spider, 80, 4, 4
14, extreme_hills, tectonic:alpine_meadow, MONSTER, minecraft:zombie, 80, 4, 4
15, extreme_hills, tectonic:alpine_meadow, MONSTER, minecraft:zombie_villager, 5, 1, 1
16, extreme_hills, tectonic:alpine_meadow, MONSTER, minecraft:skeleton, 80, 4, 4
17, extreme_hills, tectonic:alpine_meadow, MONSTER, minecraft:creeper, 80, 4, 4
18, extreme_hills, tectonic:alpine_meadow, MONSTER, minecraft:slime, 80, 4, 4
19, extreme_hills, tectonic:alpine_meadow, MONSTER, minecraft:enderman, 10, 1, 4
20, extreme_hills, tectonic:alpine_meadow, MONSTER, minecraft:witch, 5, 1, 1
21, extreme_hills, tectonic:alpine_meadow, MONSTER, uselessreptile:moleclaw, 80, 1, 1
22, extreme_hills, tectonic:alpine_meadow, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
23, extreme_hills, tectonic:alpine_meadow, CREATURE, minecraft:donkey, 5, 1, 2
24, extreme_hills, tectonic:alpine_meadow, CREATURE, minecraft:rabbit, 5, 2, 6
25, extreme_hills, tectonic:alpine_meadow, CREATURE, minecraft:sheep, 5, 2, 4
26, extreme_hills, tectonic:alpine_meadow, AMBIENT, minecraft:bat, 10, 8, 8
27, extreme_hills, tectonic:alpine_meadow, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
28, private, tectonic:ancient_river, MONSTER, minecraft:spider, 80, 4, 4
29, private, tectonic:ancient_river, MONSTER, minecraft:zombie, 80, 4, 4
30, private, tectonic:ancient_river, MONSTER, minecraft:zombie_villager, 5, 1, 1
31, private, tectonic:ancient_river, MONSTER, minecraft:skeleton, 80, 4, 4
32, private, tectonic:ancient_river, MONSTER, minecraft:creeper, 80, 4, 4
33, private, tectonic:ancient_river, MONSTER, minecraft:slime, 80, 4, 4
34, private, tectonic:ancient_river, MONSTER, minecraft:enderman, 10, 1, 4
35, private, tectonic:ancient_river, MONSTER, minecraft:witch, 5, 1, 1
36, private, tectonic:ancient_river, CREATURE, minecraft:sheep, 12, 4, 4
37, private, tectonic:ancient_river, CREATURE, minecraft:pig, 10, 4, 4
38, private, tectonic:ancient_river, CREATURE, minecraft:chicken, 10, 4, 4
39, private, tectonic:ancient_river, CREATURE, minecraft:cow, 8, 4, 4
40, private, tectonic:ancient_river, CREATURE, minecraft:horse, 5, 2, 6
41, private, tectonic:ancient_river, CREATURE, minecraft:donkey, 5, 1, 3
42, private, tectonic:ancient_river, AMBIENT, minecraft:bat, 10, 8, 8
43, private, tectonic:ancient_river, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
44, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:spider, 80, 4, 4
45, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:zombie, 19, 4, 4
46, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:zombie_villager, 5, 1, 1
47, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:skeleton, 80, 4, 4
48, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:creeper, 80, 4, 4
49, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:slime, 80, 4, 4
50, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:enderman, 10, 1, 4
51, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:witch, 5, 1, 1
52, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:husk, 80, 4, 4
53, badlands, regions_unexplored:arid_mountains, MONSTER, uselessreptile:moleclaw, 80, 1, 1
54, badlands, regions_unexplored:arid_mountains, MONSTER, graveyard:nightmare, 10, 1, 1
55, badlands, regions_unexplored:arid_mountains, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
56, badlands, regions_unexplored:arid_mountains, CREATURE, minecraft:rabbit, 5, 2, 3
57, badlands, regions_unexplored:arid_mountains, AMBIENT, minecraft:bat, 10, 8, 8
58, badlands, regions_unexplored:arid_mountains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
59, forest, tectonic:autumn_birch_forest, MONSTER, minecraft:spider, 80, 4, 4
60, forest, tectonic:autumn_birch_forest, MONSTER, minecraft:zombie, 80, 4, 4
61, forest, tectonic:autumn_birch_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
62, forest, tectonic:autumn_birch_forest, MONSTER, minecraft:skeleton, 80, 4, 4
63, forest, tectonic:autumn_birch_forest, MONSTER, minecraft:creeper, 80, 4, 4
64, forest, tectonic:autumn_birch_forest, MONSTER, minecraft:slime, 80, 4, 4
65, forest, tectonic:autumn_birch_forest, MONSTER, minecraft:enderman, 10, 1, 4
66, forest, tectonic:autumn_birch_forest, MONSTER, minecraft:witch, 5, 1, 1
67, forest, tectonic:autumn_birch_forest, MONSTER, direbats:direbat, 36, 1, 3
68, forest, tectonic:autumn_birch_forest, MONSTER, graveyard:ghoul, 25, 2, 5
69, forest, tectonic:autumn_birch_forest, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
70, forest, tectonic:autumn_birch_forest, CREATURE, minecraft:sheep, 12, 4, 4
71, forest, tectonic:autumn_birch_forest, CREATURE, minecraft:pig, 10, 4, 4
72, forest, tectonic:autumn_birch_forest, CREATURE, minecraft:chicken, 10, 4, 4
73, forest, tectonic:autumn_birch_forest, CREATURE, minecraft:cow, 8, 4, 4
74, forest, tectonic:autumn_birch_forest, CREATURE, minecraft:wolf, 5, 4, 4
75, forest, tectonic:autumn_birch_forest, AMBIENT, minecraft:bat, 10, 8, 8
76, forest, tectonic:autumn_birch_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
77, forest, tectonic:autumn_forest, MONSTER, minecraft:spider, 80, 4, 4
78, forest, tectonic:autumn_forest, MONSTER, minecraft:zombie, 80, 4, 4
79, forest, tectonic:autumn_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
80, forest, tectonic:autumn_forest, MONSTER, minecraft:skeleton, 80, 4, 4
81, forest, tectonic:autumn_forest, MONSTER, minecraft:creeper, 80, 4, 4
82, forest, tectonic:autumn_forest, MONSTER, minecraft:slime, 80, 4, 4
83, forest, tectonic:autumn_forest, MONSTER, minecraft:enderman, 10, 1, 4
84, forest, tectonic:autumn_forest, MONSTER, minecraft:witch, 5, 1, 1
85, forest, tectonic:autumn_forest, MONSTER, direbats:direbat, 36, 1, 3
86, forest, tectonic:autumn_forest, MONSTER, graveyard:ghoul, 25, 2, 5
87, forest, tectonic:autumn_forest, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
88, forest, tectonic:autumn_forest, CREATURE, minecraft:sheep, 12, 4, 4
89, forest, tectonic:autumn_forest, CREATURE, minecraft:pig, 10, 4, 4
90, forest, tectonic:autumn_forest, CREATURE, minecraft:chicken, 10, 4, 4
91, forest, tectonic:autumn_forest, CREATURE, minecraft:cow, 8, 4, 4
92, forest, tectonic:autumn_forest, CREATURE, minecraft:wolf, 5, 4, 4
93, forest, tectonic:autumn_forest, AMBIENT, minecraft:bat, 10, 8, 8
94, forest, tectonic:autumn_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
95, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:spider, 80, 4, 4
96, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:zombie, 80, 4, 4
97, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
98, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:skeleton, 80, 4, 4
99, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:creeper, 80, 4, 4
100, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:slime, 80, 4, 4
101, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:enderman, 10, 1, 4
102, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:witch, 5, 1, 1
103, forest, regions_unexplored:autumnal_maple_forest, MONSTER, direbats:direbat, 36, 1, 3
104, forest, regions_unexplored:autumnal_maple_forest, MONSTER, graveyard:ghoul, 25, 2, 5
105, forest, regions_unexplored:autumnal_maple_forest, MONSTER, uselessreptile:moleclaw, 80, 1, 1
106, forest, regions_unexplored:autumnal_maple_forest, MONSTER, graveyard:revenant, 25, 5, 8
107, forest, regions_unexplored:autumnal_maple_forest, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
108, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:wolf, 5, 4, 4
109, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:sheep, 12, 4, 4
110, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:pig, 10, 4, 4
111, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:chicken, 10, 4, 4
112, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:cow, 8, 4, 4
113, forest, regions_unexplored:autumnal_maple_forest, AMBIENT, minecraft:bat, 10, 8, 8
114, forest, regions_unexplored:autumnal_maple_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
115, badlands, minecraft:badlands, MONSTER, minecraft:spider, 80, 4, 4
116, badlands, minecraft:badlands, MONSTER, minecraft:zombie, 80, 4, 4
