1, private, regions_unexplored:alpha_grove, MONSTER, minecraft:spider, 80, 4, 4
2, private, regions_unexplored:alpha_grove, MONSTER, minecraft:zombie, 80, 4, 4
3, private, regions_unexplored:alpha_grove, MONSTER, minecraft:zombie_villager, 5, 1, 1
4, private, regions_unexplored:alpha_grove, MONSTER, minecraft:skeleton, 80, 4, 4
5, private, regions_unexplored:alpha_grove, MONSTER, minecraft:creeper, 80, 4, 4
6, private, regions_unexplored:alpha_grove, MONSTER, minecraft:slime, 80, 4, 4
7, private, regions_unexplored:alpha_grove, MONSTER, minecraft:enderman, 10, 1, 4
8, private, regions_unexplored:alpha_grove, MONSTER, minecraft:witch, 5, 1, 1
9, private, regions_unexplored:alpha_grove, MONSTER, uselessreptile:moleclaw, 80, 1, 1
10, private, regions_unexplored:alpha_grove, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
11, private, regions_unexplored:alpha_grove, AMBIENT, minecraft:bat, 10, 8, 8
12, private, regions_unexplored:alpha_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
13, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:spider, 80, 4, 4
14, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:zombie, 19, 4, 4
15, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:zombie_villager, 5, 1, 1
16, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:skeleton, 80, 4, 4
17, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:creeper, 80, 4, 4
18, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:slime, 80, 4, 4
19, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:enderman, 10, 1, 4
20, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:witch, 5, 1, 1
21, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:husk, 80, 4, 4
22, badlands, regions_unexplored:arid_mountains, MONSTER, uselessreptile:moleclaw, 80, 1, 1
23, badlands, regions_unexplored:arid_mountains, MONSTER, graveyard:nightmare, 10, 1, 1
24, badlands, regions_unexplored:arid_mountains, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
25, badlands, regions_unexplored:arid_mountains, CREATURE, minecraft:rabbit, 5, 2, 3
26, badlands, regions_unexplored:arid_mountains, AMBIENT, minecraft:bat, 10, 8, 8
27, badlands, regions_unexplored:arid_mountains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
28, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:spider, 80, 4, 4
29, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:zombie, 80, 4, 4
30, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
31, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:skeleton, 80, 4, 4
32, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:creeper, 80, 4, 4
33, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:slime, 80, 4, 4
34, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:enderman, 10, 1, 4
35, forest, regions_unexplored:autumnal_maple_forest, MONSTER, minecraft:witch, 5, 1, 1
36, forest, regions_unexplored:autumnal_maple_forest, MONSTER, direbats:direbat, 36, 1, 3
37, forest, regions_unexplored:autumnal_maple_forest, MONSTER, graveyard:ghoul, 25, 2, 5
38, forest, regions_unexplored:autumnal_maple_forest, MONSTER, uselessreptile:moleclaw, 80, 1, 1
39, forest, regions_unexplored:autumnal_maple_forest, MONSTER, graveyard:revenant, 25, 5, 8
40, forest, regions_unexplored:autumnal_maple_forest, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
41, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:wolf, 5, 4, 4
42, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:sheep, 12, 4, 4
43, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:pig, 10, 4, 4
44, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:chicken, 10, 4, 4
45, forest, regions_unexplored:autumnal_maple_forest, CREATURE, minecraft:cow, 8, 4, 4
46, forest, regions_unexplored:autumnal_maple_forest, AMBIENT, minecraft:bat, 10, 8, 8
47, forest, regions_unexplored:autumnal_maple_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
48, badlands, minecraft:badlands, MONSTER, minecraft:spider, 80, 4, 4
49, badlands, minecraft:badlands, MONSTER, minecraft:zombie, 80, 4, 4
50, badlands, minecraft:badlands, MONSTER, minecraft:zombie_villager, 5, 1, 1
51, badlands, minecraft:badlands, MONSTER, minecraft:skeleton, 80, 4, 4
52, badlands, minecraft:badlands, MONSTER, minecraft:creeper, 80, 4, 4
53, badlands, minecraft:badlands, MONSTER, minecraft:slime, 80, 4, 4
54, badlands, minecraft:badlands, MONSTER, minecraft:enderman, 10, 1, 4
55, badlands, minecraft:badlands, MONSTER, minecraft:witch, 5, 1, 1
56, badlands, minecraft:badlands, MONSTER, uselessreptile:moleclaw, 80, 1, 1
57, badlands, minecraft:badlands, MONSTER, graveyard:nightmare, 10, 1, 1
58, badlands, minecraft:badlands, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
59, badlands, minecraft:badlands, AMBIENT, minecraft:bat, 10, 8, 8
60, badlands, minecraft:badlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
61, jungle, regions_unexplored:bamboo_forest, MONSTER, minecraft:spider, 80, 4, 4
62, jungle, regions_unexplored:bamboo_forest, MONSTER, minecraft:zombie, 80, 4, 4
63, jungle, regions_unexplored:bamboo_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
64, jungle, regions_unexplored:bamboo_forest, MONSTER, minecraft:skeleton, 80, 4, 4
65, jungle, regions_unexplored:bamboo_forest, MONSTER, minecraft:creeper, 80, 4, 4
66, jungle, regions_unexplored:bamboo_forest, MONSTER, minecraft:slime, 80, 4, 4
67, jungle, regions_unexplored:bamboo_forest, MONSTER, minecraft:enderman, 10, 1, 4
68, jungle, regions_unexplored:bamboo_forest, MONSTER, minecraft:witch, 5, 1, 1
69, jungle, regions_unexplored:bamboo_forest, MONSTER, uselessreptile:moleclaw, 80, 1, 1
70, jungle, regions_unexplored:bamboo_forest, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
71, jungle, regions_unexplored:bamboo_forest, CREATURE, minecraft:sheep, 12, 4, 4
72, jungle, regions_unexplored:bamboo_forest, CREATURE, minecraft:pig, 10, 4, 4
73, jungle, regions_unexplored:bamboo_forest, CREATURE, minecraft:chicken, 10, 4, 4
74, jungle, regions_unexplored:bamboo_forest, CREATURE, minecraft:cow, 8, 4, 4
75, jungle, regions_unexplored:bamboo_forest, CREATURE, minecraft:chicken, 10, 4, 4
76, jungle, regions_unexplored:bamboo_forest, CREATURE, minecraft:panda, 80, 1, 2
77, jungle, regions_unexplored:bamboo_forest, AMBIENT, minecraft:bat, 10, 8, 8
78, jungle, regions_unexplored:bamboo_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
79, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:spider, 80, 4, 4
80, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie, 80, 4, 4
81, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie_villager, 5, 1, 1
82, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:skeleton, 80, 4, 4
83, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:creeper, 80, 4, 4
84, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:slime, 80, 4, 4
85, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:enderman, 10, 1, 4
86, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:witch, 5, 1, 1
87, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:ocelot, 5, 1, 1
88, jungle, minecraft:bamboo_jungle, MONSTER, uselessreptile:moleclaw, 80, 1, 1
89, jungle, minecraft:bamboo_jungle, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
90, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:sheep, 12, 4, 4
91, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:pig, 10, 4, 4
92, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:chicken, 10, 4, 4
93, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:cow, 8, 4, 4
94, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:chicken, 10, 4, 4
95, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:parrot, 40, 1, 2
96, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:panda, 80, 1, 2
97, jungle, minecraft:bamboo_jungle, AMBIENT, minecraft:bat, 10, 8, 8
98, jungle, minecraft:bamboo_jungle, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
99, private, regions_unexplored:baobab_savanna, MONSTER, minecraft:spider, 80, 4, 4
100, private, regions_unexplored:baobab_savanna, MONSTER, minecraft:zombie, 80, 4, 4
101, private, regions_unexplored:baobab_savanna, MONSTER, minecraft:zombie_villager, 5, 1, 1
102, private, regions_unexplored:baobab_savanna, MONSTER, minecraft:skeleton, 80, 4, 4
103, private, regions_unexplored:baobab_savanna, MONSTER, minecraft:creeper, 80, 4, 4
104, private, regions_unexplored:baobab_savanna, MONSTER, minecraft:slime, 80, 4, 4
105, private, regions_unexplored:baobab_savanna, MONSTER, minecraft:enderman, 10, 1, 4
106, private, regions_unexplored:baobab_savanna, MONSTER, minecraft:witch, 5, 1, 1
107, private, regions_unexplored:baobab_savanna, MONSTER, uselessreptile:moleclaw, 80, 1, 1
108, private, regions_unexplored:baobab_savanna, MONSTER, graveyard:nightmare, 10, 1, 1
109, private, regions_unexplored:baobab_savanna, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
110, private, regions_unexplored:baobab_savanna, CREATURE, minecraft:sheep, 12, 4, 4
111, private, regions_unexplored:baobab_savanna, CREATURE, minecraft:pig, 10, 4, 4
112, private, regions_unexplored:baobab_savanna, CREATURE, minecraft:chicken, 10, 4, 4
113, private, regions_unexplored:baobab_savanna, CREATURE, minecraft:cow, 8, 4, 4
114, private, regions_unexplored:baobab_savanna, CREATURE, minecraft:horse, 5, 2, 6
