1, repurposed_structures:mansion_jungle, HEADING, header:ignore, 0, 0, 0
2, repurposed_structures:igloo_grassy, HEADING, header:ignore, 0, 0, 0
3, survivalexpansion:mushtree2, HEADING, header:ignore, 0, 0, 0
4, graveyard:small_graveyard, HEADING, header:ignore, 0, 0, 0
5, graveyard:small_graveyard, MONSTER, graveyard:skeleton_creeper, 35, 1, 1
6, graveyard:small_graveyard, MONSTER, graveyard:revenant, 45, 1, 3
7, graveyard:small_graveyard, MONSTER, graveyard:ghoul, 50, 1, 2
8, graveyard:mushroom_grave, HEADING, header:ignore, 0, 0, 0
9, bettermineshafts:mineshaft_jungle, HEADING, header:ignore, 0, 0, 0
10, mvs:nature/big_oak_tree, HEADING, header:ignore, 0, 0, 0
11, mvs:well/wells/desert_well, HEADING, header:ignore, 0, 0, 0
12, mvs:log_pile/spruce_log_pile, HEADING, header:ignore, 0, 0, 0
13, mvs:well/wells/rocky_well, HEADING, header:ignore, 0, 0, 0
14, repurposed_structures:village_birch, HEADING, header:ignore, 0, 0, 0
15, mvs:ruins/ruined_beacon, HEADING, header:ignore, 0, 0, 0
16, bettermineshafts:mineshaft_dripstone, HEADING, header:ignore, 0, 0, 0
17, dungeons_arise:plague_asylum, HEADING, header:ignore, 0, 0, 0
18, gd:netherrock, HEADING, header:ignore, 0, 0, 0
19, graveyard:medium_graveyard, HEADING, header:ignore, 0, 0, 0
20, graveyard:medium_graveyard, MONSTER, graveyard:skeleton_creeper, 35, 1, 1
21, graveyard:medium_graveyard, MONSTER, graveyard:revenant, 45, 1, 3
22, graveyard:medium_graveyard, MONSTER, graveyard:ghoul, 50, 2, 4
23, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
24, mvs:stall/orange_stall, HEADING, header:ignore, 0, 0, 0
25, repurposed_structures:shipwreck_nether_bricks, HEADING, header:ignore, 0, 0, 0
26, repurposed_structures:shipwreck_nether_bricks, MONSTER, minecraft:wither_skeleton, 10, 1, 1
27, mvs:other_decoration/mushroom_statue, HEADING, header:ignore, 0, 0, 0
28, repurposed_structures:village_dark_forest, HEADING, header:ignore, 0, 0, 0
29, bettermineshafts:mineshaft_ice, HEADING, header:ignore, 0, 0, 0
30, repurposed_structures:outpost_warped, HEADING, header:ignore, 0, 0, 0
31, repurposed_structures:outpost_warped, MONSTER, minecraft:piglin, 10, 1, 1
32, mvs:well/wells/snowy_well, HEADING, header:ignore, 0, 0, 0
33, repurposed_structures:outpost_badlands, HEADING, header:ignore, 0, 0, 0
34, repurposed_structures:outpost_badlands, MONSTER, minecraft:pillager, 10, 1, 1
